id,text,language,source
180,Obìnrin náà ń kọ́ ẹ̀kọ́ ní ọgbà àná.,Yoruba,AI-generated synthetic data
181,Ẹ káalẹ́,Yoruba,AI-generated synthetic data
182,Mai binciken yana karatu jerin kaya.,Hausa,AI-generated synthetic data
183,Baba fẹ́ fóònù lónìí.,Yoruba,AI-generated synthetic data
184,The farmer is repairing the inventory list.,English,AI-generated synthetic data
185,Nwa ahụ mere akwụkwọ nri n'abalị.,Igbo,AI-generated synthetic data
186,Nwanne nwoke m na-eje ije n'ụlọ akwụkwọ n'ụtụtụ.,Igbo,AI-generated synthetic data
187,Ọmọ náà dé sí ọgbà ẹ̀kọ́ ní alẹ́.,Yoruba,AI-generated synthetic data
188,Nwoke ahụ bịara n'ọbá akwụkwọ n'abalị.,Igbo,AI-generated synthetic data
189,Ma'aikaciyar jinya yana bitar kwamfutar.,Hausa,AI-generated synthetic data
190,Mai shirye-shiryen yana koyon jerin kaya.,Hausa,AI-generated synthetic data
191,Ha zụtara ekwentị taa.,Igbo,AI-generated synthetic data
192,Nwanyị ahụ wetara azụ n'oge.,Igbo,AI-generated synthetic data
193,Aládùúgbò wa ní ìwé lónìí.,Yoruba,AI-generated synthetic data
194,The manager is discussing the business plan.,English,AI-generated synthetic data
195,Al'ummar yana koyon shirin kasuwanci.,Hausa,AI-generated synthetic data
196,"Da safe, ma'aikaciyar jinya ta duba zafin jikin mara lafiya.",Hausa,AI-generated synthetic data
197,Onye nkụzi ahụ wetara anụ echi.,Igbo,AI-generated synthetic data
198,Onye nkụzi ahụ hụrụ igwefoto taa.,Igbo,AI-generated synthetic data
199,"A gida, wa ke da alhakin kayan aikin?",Hausa,AI-generated synthetic data
200,The engineer is discussing the school timetable.,English,AI-generated synthetic data
201,Mo ń ṣiṣẹ́ ní mọ́sáláṣí ní ọ̀sán.,Yoruba,AI-generated synthetic data
202,Ọ nọ n'ọdụ ụgbọala taa.,Igbo,AI-generated synthetic data
203,The manager is organizing the report.,English,AI-generated synthetic data
204,Nwa ahụ na-aga n'ụlọ ọgwụ n'izu a.,Igbo,AI-generated synthetic data
205,Ẹyin ní ọ̀gẹ̀dẹ̀ ní ọ̀sán.,Yoruba,AI-generated synthetic data
206,"Gobe, rumbun bayanai yana dauke da bayanai daga wurare da dama.",Hausa,AI-generated synthetic data
207,Direban yana koyon kayan horo.,Hausa,AI-generated synthetic data
208,Nwoke ahụ zụtara igodo na ngwụcha izu.,Igbo,AI-generated synthetic data
209,Dọkịta ahụ wetara uwe n'ụtụtụ.,Igbo,AI-generated synthetic data
210,The doctor is repairing the training materials.,English,AI-generated synthetic data
211,"Jiya, ya kamata mu tafi da wuri don guje wa cunkoso.",Hausa,AI-generated synthetic data
212,Nwanyị ahụ nọ n'ọfịs n'abalị.,Igbo,AI-generated synthetic data
213,Nwa ahụ wetara oche ụnyaahụ.,Igbo,AI-generated synthetic data
214,Nwanne nwoke m na-aga n'ọdụ ụgbọala n'ehihie.,Igbo,AI-generated synthetic data
215,The developer is checking the meeting notes.,English,AI-generated synthetic data
216,"Bayan cin abinci, ta yaya zan sake saita kalmar sirri?",Hausa,AI-generated synthetic data
217,Ọ na-amụ ihe n'ụlọ ekpere n'ụtụtụ.,Igbo,AI-generated synthetic data
218,Ọmọ náà fẹ́ ẹran ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
219,My brother is repairing the farm equipment.,English,AI-generated synthetic data
220,Arábìnrin mi lo omi ní kutukutu.,Yoruba,AI-generated synthetic data
221,"Da safe, abincin gidan cin abincin ya yi dadi sosai.",Hausa,AI-generated synthetic data
222,Àwọn ọmọ rí oúnjẹ ní òru.,Yoruba,AI-generated synthetic data
223,Ị ghọtara ihe ọmụmụ ahụ?,Igbo,AI-generated synthetic data
224,Direban yana gyara samfurin koyon na'ura.,Hausa,AI-generated synthetic data
225,The farmer is repairing the network connection.,English,AI-generated synthetic data
226,Arákùnrin mi wà ní ọ́fíìsì lónìí.,Yoruba,AI-generated synthetic data
227,Awa mú ọ̀gẹ̀dẹ̀ ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
228,A teacher is preparing a research proposal.,English,AI-generated synthetic data
229,Nna wetara akwụkwọ nri n'ụtụtụ.,Igbo,AI-generated synthetic data
230,Our team is preparing the machine learning model.,English,AI-generated synthetic data
231,Injiniyan yana bitar sabon aiki.,Hausa,AI-generated synthetic data
232,Aládùúgbò wa ra ẹja ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
233,My brother is studying the farm equipment.,English,AI-generated synthetic data
234,Anyị na-amụ ihe n'ụlọ n'oge.,Igbo,AI-generated synthetic data
235,Mai shirye-shiryen yana karatu jadawalin isar da kaya.,Hausa,AI-generated synthetic data
236,Ma'aikaciyar jinya yana tsara bayanan mara lafiya.,Hausa,AI-generated synthetic data
237,"A wurin aiki, don Allah ka tuna ka cajin wayarka.",Hausa,AI-generated synthetic data
238,Dalibin yana tsara rahoton.,Hausa,AI-generated synthetic data
239,My brother is building the computer.,English,AI-generated synthetic data
240,"Yesterday, my sister bought a new pair of shoes.",English,AI-generated synthetic data
241,Where can I buy fresh vegetables?,English,AI-generated synthetic data
242,Aládùúgbò wa wà ní ọgbà ní kutukutu.,Yoruba,AI-generated synthetic data
243,Baba wà ní ọgbà lónìí.,Yoruba,AI-generated synthetic data
244,Wọ́n fẹ́ fóònù ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
245,Ọ̀rẹ́ mi lọ sí mọ́sáláṣí ní kutukutu.,Yoruba,AI-generated synthetic data
246,Dan uwana yana karatu bayanan taro.,Hausa,AI-generated synthetic data
247,Mama lọ sí ọgbà ẹ̀kọ́ ní alẹ́.,Yoruba,AI-generated synthetic data
248,The manager is organizing a new project.,English,AI-generated synthetic data
249,M na-amụ ihe n'ogige n'ehihie.,Igbo,AI-generated synthetic data
250,Dan uwana yana tsara jadawalin isar da kaya.,Hausa,AI-generated synthetic data
251,Tawagar mu yana koyon bayanan taro.,Hausa,AI-generated synthetic data
252,The nurse is organizing the training materials.,English,AI-generated synthetic data
253,My friend is repairing the school timetable.,English,AI-generated synthetic data
254,Awa wà ní ọgbà ẹ̀kọ́ ní kutukutu.,Yoruba,AI-generated synthetic data
255,Baba ń kọ́ ẹ̀kọ́ ní ilé ìtajà lónìí.,Yoruba,AI-generated synthetic data
256,Onye agbata obi anyị jiri akwụkwọ n'izu a.,Igbo,AI-generated synthetic data
257,Aládùúgbò wa ra kọ̀ǹpútà ní alẹ́.,Yoruba,AI-generated synthetic data
258,Ma'aikaciyar jinya yana tsara sabon aiki.,Hausa,AI-generated synthetic data
259,Enyi m nwere anụ n'izu a.,Igbo,AI-generated synthetic data
260,Nwanne m nọ n'ụlọ ọgwụ n'abalị.,Igbo,AI-generated synthetic data
261,Likitan yana bitar kayan aikin gona.,Hausa,AI-generated synthetic data
262,The researcher collected responses from several participants.,English,AI-generated synthetic data
263,The doctor is learning a new project.,English,AI-generated synthetic data
264,Nwoke ahụ zụtara mmiri n'ụtụtụ.,Igbo,AI-generated synthetic data
265,"Yayin taro, allon bayanai yana nuna sabbin alkaluman kaya.",Hausa,AI-generated synthetic data
266,Mo rí àgbàdo ní ọ̀sán.,Yoruba,AI-generated synthetic data
267,Ụmụaka ahụ na-amụ ihe n'ahịa ụnyaahụ.,Igbo,AI-generated synthetic data
268,Nwa akwụkwọ ahụ wetara uwe ụnyaahụ.,Igbo,AI-generated synthetic data
269,Ụmụaka ahụ jiri tebụl ụnyaahụ.,Igbo,AI-generated synthetic data
270,Unu zụtara uwe n'oge.,Igbo,AI-generated synthetic data
271,The farmer is discussing the computer.,English,AI-generated synthetic data
272,Olùkọ́ náà wà ní pápá ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
273,Manomin yana koyon kwamfutar.,Hausa,AI-generated synthetic data
274,Ọkùnrin náà mú ìwé ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
275,Wọ́n rí ọ̀gẹ̀dẹ̀ ní alẹ́.,Yoruba,AI-generated synthetic data
276,The nurse is building the school timetable.,English,AI-generated synthetic data
277,"A gida, na gode sosai da taimakonka kan aikin.",Hausa,AI-generated synthetic data
278,Akẹ́kọ̀ọ́ náà ń rìn ní ilé ìwé lónìí.,Yoruba,AI-generated synthetic data
279,"Yau, wutar lantarki ta dauke da yamma.",Hausa,AI-generated synthetic data
280,Àwọn ọmọ ní kọ́kọ́rọ́ ní òru.,Yoruba,AI-generated synthetic data
281,Olùkọ́ náà dé sí pápá ní òwúrọ̀.,Yoruba,AI-generated synthetic data
282,The engineer is repairing the business plan.,English,AI-generated synthetic data
283,My brother is discussing the report.,English,AI-generated synthetic data
284,Ọmọ náà mú kọ̀ǹpútà ní alẹ́.,Yoruba,AI-generated synthetic data
285,"Gobe, ma'aikaciyar jinya ta duba zafin jikin mara lafiya.",Hausa,AI-generated synthetic data
286,Injiniyan yana gina sabon aiki.,Hausa,AI-generated synthetic data
287,The developer is repairing the delivery schedule.,English,AI-generated synthetic data
288,Wọ́n lọ sí ọjà àná.,Yoruba,AI-generated synthetic data
289,"After lunch, the network administrator checked the router.",English,AI-generated synthetic data
290,The doctor is building the inventory list.,English,AI-generated synthetic data
291,Ụmụaka ahụ chọrọ akpa ụnyaahụ.,Igbo,AI-generated synthetic data
292,My friend is planning the machine learning model.,English,AI-generated synthetic data
293,My friend is repairing the meeting notes.,English,AI-generated synthetic data
294,Anyị nwere unere n'ụtụtụ.,Igbo,AI-generated synthetic data
295,Tawagar mu yana karatu bayanan taro.,Hausa,AI-generated synthetic data
296,Gịnị bụ aha gị?,Igbo,AI-generated synthetic data
297,Dan uwana yana bitar manhajar waya.,Hausa,AI-generated synthetic data
298,Wọ́n fẹ́ àga ní òwúrọ̀.,Yoruba,AI-generated synthetic data
299,Mai shirye-shiryen yana shirya rahoton.,Hausa,AI-generated synthetic data
300,Injiniyan yana karatu kwamfutar.,Hausa,AI-generated synthetic data
301,My brother is repairing the training materials.,English,AI-generated synthetic data
302,"In the afternoon, where did you keep the document?",English,AI-generated synthetic data
303,My friend is discussing the business plan.,English,AI-generated synthetic data
304,Al'ummar yana gyara bayanan taro.,Hausa,AI-generated synthetic data
305,The manager is checking the network connection.,English,AI-generated synthetic data
306,Dókítà náà rí ìwé ní kutukutu.,Yoruba,AI-generated synthetic data
307,The engineer is organizing the inventory list.,English,AI-generated synthetic data
308,Onye agbata obi anyị zụtara tebụl n'ụtụtụ.,Igbo,AI-generated synthetic data
309,Dalibin yana shirya shirin kasuwanci.,Hausa,AI-generated synthetic data
310,The doctor is studying the computer.,English,AI-generated synthetic data
311,Nwa ahụ hụrụ kọmputa na ngwụcha izu.,Igbo,AI-generated synthetic data
312,Nwanne m na-amụ ihe n'ọbá akwụkwọ echi.,Igbo,AI-generated synthetic data
313,The developer is building the training materials.,English,AI-generated synthetic data
314,Awa ń ṣiṣẹ́ ní mọ́sáláṣí ọ̀la.,Yoruba,AI-generated synthetic data
315,Dọkịta ahụ chọrọ azụ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
316,A teacher is reviewing the inventory list.,English,AI-generated synthetic data
317,"At home, the computer needs an update before the software can run.",English,AI-generated synthetic data
318,Ị nọ n'chọọchị na ngwụcha izu.,Igbo,AI-generated synthetic data
319,Al'ummar yana tsara jerin kaya.,Hausa,AI-generated synthetic data
320,Awa ṣe àgbàdo ní ọ̀sán.,Yoruba,AI-generated synthetic data
321,Onye agbata obi anyị wetara akwụkwọ na ngwụcha izu.,Igbo,AI-generated synthetic data
322,Mo ń ṣiṣẹ́ ní ọ́fíìsì ọ̀la.,Yoruba,AI-generated synthetic data
323,Mai binciken yana gyara hanyar sadarwa.,Hausa,AI-generated synthetic data
324,Arákùnrin mi ń kọ́ ẹ̀kọ́ ní mọ́sáláṣí ọ̀la.,Yoruba,AI-generated synthetic data
325,"Bayan cin abinci, suna jiran motar bas.",Hausa,AI-generated synthetic data
326,A researcher is organizing a research proposal.,English,AI-generated synthetic data
327,O wà ní ilé ọ̀rẹ́ mi ọ̀la.,Yoruba,AI-generated synthetic data
328,The driver is building the delivery schedule.,English,AI-generated synthetic data
329,Dókítà náà ní ẹ̀fọ́ àná.,Yoruba,AI-generated synthetic data
330,A researcher is planning the meeting notes.,English,AI-generated synthetic data
331,"Da yamma, mai bincike ya kwatanta samfurin koyon na'ura daban-daban.",Hausa,AI-generated synthetic data
332,"In the afternoon, the meeting has been moved to Friday.",English,AI-generated synthetic data
333,"Da rana, wa ke da alhakin kayan aikin?",Hausa,AI-generated synthetic data
334,Ó mú ìrẹsì ní òru.,Yoruba,AI-generated synthetic data
335,Awa ń ṣiṣẹ́ ní ibùdó ọkọ̀ ní ọ̀sán.,Yoruba,AI-generated synthetic data
336,Ẹyin fẹ́ ẹ̀wà ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
337,Dan uwana yana karatu kayan aikin gona.,Hausa,AI-generated synthetic data
338,"Jiya, rahoton ya kunshi sakamakon gwajin.",Hausa,AI-generated synthetic data
